,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10,fold11,fold12,fold13,fold14,fold15,fold16,fold17,fold18,fold19,fold20,fold21,fold22,fold23,fold24,fold25,fold26,fold27,fold28,fold29,fold30,fold31,fold32,fold33,fold34,fold35,fold36,fold37,fold38,fold39,fold40,fold41,fold42,fold43,fold44,fold45,fold46,fold47,fold48,fold49,fold50,fold51,fold52,fold53,fold54,fold55,fold56,fold57,fold58,fold59,fold60,fold61,fold62,fold63,fold64,fold65,fold66,fold67,fold68,fold69,fold70,fold71,fold72,fold73,fold74,fold75,fold76,fold77,fold78,fold79,fold80,fold81,fold82,fold83,fold84,fold85,fold86,fold87,fold88,fold89,fold90,fold91,fold92,fold93,fold94,fold95,fold96,fold97,fold98,fold99,fold100
Joint,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885,0.22270556034660227,0.2732665836383162,0.3093015058730177,0.3750059017538426,0.27672296914157796,0.33722960926774237,0.3552470404432915,0.3302337074119688,0.5356702850593539,0.39699577869736885
Positive,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707,0.27412683418858674,0.17200326831377688,0.3437540055622244,0.26979489033430176,0.14602503873453468,0.23058028929051402,0.19969173517579172,0.21107449737128303,0.4609134860833749,0.38859119063244707
Negative,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948,0.0995928491778712,0.2868495923284559,0.21617887812132427,0.36141741093780905,0.30318342797385217,0.29640654392830684,0.39738168277712443,0.3358305266582047,0.474797859886515,0.342995473369948
