,Network: Vis,Network: SomMot,Network: DorsAttn,Network: SalVentAttn,Network: Limbic,Network: Cont,Network: Default
fold44,0.3771290761969337,0.27027666694359703,0.3503274491746961,0.31587358738589466,0.289448799456339,0.28543513348581756,0.3749583024088413
fold45,0.17192057514011963,0.2049844616192553,0.23404673719072835,0.25761635795334537,0.004241844475247025,0.1866539936557389,0.3275213976149628
fold46,0.3406453761300385,0.2105275436239043,0.24713459534542262,0.2682646013860982,0.2799577476511972,0.3382451688752973,0.2963242387256303
fold47,0.39686349781434316,0.15727532926885535,0.2971603536670273,0.3071250275919453,0.2531779422448921,0.3081650179661424,0.37883019194563394
fold48,0.4399476160389938,0.19851629812555502,0.40052464490143497,0.16685148101159772,0.38594460983275336,0.2963638531273261,0.282720134294312
fold49,0.4854920164513051,0.4957382427010218,0.5234848983619897,0.5024028238076845,0.2818205216371292,0.5556189673159648,0.45593810627023185
fold50,0.3659147438577312,0.4348085843737186,0.40308483987681887,0.33379728054939467,0.46020607624853355,0.35507641733847584,0.3794217512072245
fold51,0.07156700731982696,0.3113046929687656,0.21589651982768515,0.19398620417908158,0.06621589645126136,0.11940371104282846,0.249555673921435
fold52,0.2177819013776335,0.1530448051827336,0.2808939994353986,0.21649471837843065,0.09658524404739159,0.24081485835611224,0.26982685077450935
fold53,0.2058858672181645,0.27902149256949693,0.23789162364257668,0.24462657916286484,0.24141327038630414,0.2856015799850767,0.3305998167069387
fold54,0.3771290761969337,0.27027666694359703,0.3503274491746961,0.31587358738589466,0.289448799456339,0.28543513348581756,0.3749583024088413
fold55,0.17192057514011963,0.2049844616192553,0.23404673719072835,0.25761635795334537,0.004241844475247025,0.1866539936557389,0.3275213976149628
fold56,0.3406453761300385,0.2105275436239043,0.24713459534542262,0.2682646013860982,0.2799577476511972,0.3382451688752973,0.2963242387256303
fold57,0.39686349781434316,0.15727532926885535,0.2971603536670273,0.3071250275919453,0.2531779422448921,0.3081650179661424,0.37883019194563394
fold58,0.4399476160389938,0.19851629812555502,0.40052464490143497,0.16685148101159772,0.38594460983275336,0.2963638531273261,0.282720134294312
fold59,0.4854920164513051,0.4957382427010218,0.5234848983619897,0.5024028238076845,0.2818205216371292,0.5556189673159648,0.45593810627023185
fold60,0.3659147438577312,0.4348085843737186,0.40308483987681887,0.33379728054939467,0.46020607624853355,0.35507641733847584,0.3794217512072245
fold61,0.07156700731982696,0.3113046929687656,0.21589651982768515,0.19398620417908158,0.06621589645126136,0.11940371104282846,0.249555673921435
fold62,0.2177819013776335,0.1530448051827336,0.2808939994353986,0.21649471837843065,0.09658524404739159,0.24081485835611224,0.26982685077450935
fold63,0.2058858672181645,0.27902149256949693,0.23789162364257668,0.24462657916286484,0.24141327038630414,0.2856015799850767,0.3305998167069387
fold64,0.3771290761969337,0.27027666694359703,0.3503274491746961,0.31587358738589466,0.289448799456339,0.28543513348581756,0.3749583024088413
fold65,0.17192057514011963,0.2049844616192553,0.23404673719072835,0.25761635795334537,0.004241844475247025,0.1866539936557389,0.3275213976149628
fold66,0.3406453761300385,0.2105275436239043,0.24713459534542262,0.2682646013860982,0.2799577476511972,0.3382451688752973,0.2963242387256303
fold67,0.39686349781434316,0.15727532926885535,0.2971603536670273,0.3071250275919453,0.2531779422448921,0.3081650179661424,0.37883019194563394
fold68,0.4399476160389938,0.19851629812555502,0.40052464490143497,0.16685148101159772,0.38594460983275336,0.2963638531273261,0.282720134294312
fold69,0.4854920164513051,0.4957382427010218,0.5234848983619897,0.5024028238076845,0.2818205216371292,0.5556189673159648,0.45593810627023185
fold70,0.3659147438577312,0.4348085843737186,0.40308483987681887,0.33379728054939467,0.46020607624853355,0.35507641733847584,0.3794217512072245
fold71,0.07156700731982696,0.3113046929687656,0.21589651982768515,0.19398620417908158,0.06621589645126136,0.11940371104282846,0.249555673921435
fold72,0.2177819013776335,0.1530448051827336,0.2808939994353986,0.21649471837843065,0.09658524404739159,0.24081485835611224,0.26982685077450935
fold73,0.2058858672181645,0.27902149256949693,0.23789162364257668,0.24462657916286484,0.24141327038630414,0.2856015799850767,0.3305998167069387
fold74,0.3771290761969337,0.27027666694359703,0.3503274491746961,0.31587358738589466,0.289448799456339,0.28543513348581756,0.3749583024088413
fold75,0.17192057514011963,0.2049844616192553,0.23404673719072835,0.25761635795334537,0.004241844475247025,0.1866539936557389,0.3275213976149628
fold76,0.3406453761300385,0.2105275436239043,0.24713459534542262,0.2682646013860982,0.2799577476511972,0.3382451688752973,0.2963242387256303
fold77,0.39686349781434316,0.15727532926885535,0.2971603536670273,0.3071250275919453,0.2531779422448921,0.3081650179661424,0.37883019194563394
fold78,0.4399476160389938,0.19851629812555502,0.40052464490143497,0.16685148101159772,0.38594460983275336,0.2963638531273261,0.282720134294312
fold79,0.4854920164513051,0.4957382427010218,0.5234848983619897,0.5024028238076845,0.2818205216371292,0.5556189673159648,0.45593810627023185
fold80,0.3659147438577312,0.4348085843737186,0.40308483987681887,0.33379728054939467,0.46020607624853355,0.35507641733847584,0.3794217512072245
fold81,0.07156700731982696,0.3113046929687656,0.21589651982768515,0.19398620417908158,0.06621589645126136,0.11940371104282846,0.249555673921435
fold82,0.2177819013776335,0.1530448051827336,0.2808939994353986,0.21649471837843065,0.09658524404739159,0.24081485835611224,0.26982685077450935
fold83,0.2058858672181645,0.27902149256949693,0.23789162364257668,0.24462657916286484,0.24141327038630414,0.2856015799850767,0.3305998167069387
fold84,0.3771290761969337,0.27027666694359703,0.3503274491746961,0.31587358738589466,0.289448799456339,0.28543513348581756,0.3749583024088413
fold85,0.17192057514011963,0.2049844616192553,0.23404673719072835,0.25761635795334537,0.004241844475247025,0.1866539936557389,0.3275213976149628
fold86,0.3406453761300385,0.2105275436239043,0.24713459534542262,0.2682646013860982,0.2799577476511972,0.3382451688752973,0.2963242387256303
fold87,0.39686349781434316,0.15727532926885535,0.2971603536670273,0.3071250275919453,0.2531779422448921,0.3081650179661424,0.37883019194563394
fold88,0.4399476160389938,0.19851629812555502,0.40052464490143497,0.16685148101159772,0.38594460983275336,0.2963638531273261,0.282720134294312
fold89,0.4854920164513051,0.4957382427010218,0.5234848983619897,0.5024028238076845,0.2818205216371292,0.5556189673159648,0.45593810627023185
fold90,0.3659147438577312,0.4348085843737186,0.40308483987681887,0.33379728054939467,0.46020607624853355,0.35507641733847584,0.3794217512072245
fold91,0.07156700731982696,0.3113046929687656,0.21589651982768515,0.19398620417908158,0.06621589645126136,0.11940371104282846,0.249555673921435
fold92,0.2177819013776335,0.1530448051827336,0.2808939994353986,0.21649471837843065,0.09658524404739159,0.24081485835611224,0.26982685077450935
fold93,0.2058858672181645,0.27902149256949693,0.23789162364257668,0.24462657916286484,0.24141327038630414,0.2856015799850767,0.3305998167069387
fold94,0.3771290761969337,0.27027666694359703,0.3503274491746961,0.31587358738589466,0.289448799456339,0.28543513348581756,0.3749583024088413
fold95,0.17192057514011963,0.2049844616192553,0.23404673719072835,0.25761635795334537,0.004241844475247025,0.1866539936557389,0.3275213976149628
fold96,0.3406453761300385,0.2105275436239043,0.24713459534542262,0.2682646013860982,0.2799577476511972,0.3382451688752973,0.2963242387256303
fold97,0.39686349781434316,0.15727532926885535,0.2971603536670273,0.3071250275919453,0.2531779422448921,0.3081650179661424,0.37883019194563394
fold98,0.4399476160389938,0.19851629812555502,0.40052464490143497,0.16685148101159772,0.38594460983275336,0.2963638531273261,0.282720134294312
fold99,0.4854920164513051,0.4957382427010218,0.5234848983619897,0.5024028238076845,0.2818205216371292,0.5556189673159648,0.45593810627023185
fold100,0.3659147438577312,0.4348085843737186,0.40308483987681887,0.33379728054939467,0.46020607624853355,0.35507641733847584,0.3794217512072245
